,species,year,amount,country
0,SHEEP,1990,9.56,"Korea, Republic of"
1,SHEEP,1991,7.9,"Korea, Republic of"
2,SHEEP,1992,15.47,"Korea, Republic of"
3,SHEEP,1993,11.52,"Korea, Republic of"
4,SHEEP,1994,14.19,"Korea, Republic of"
5,SHEEP,1995,12.72,"Korea, Republic of"
6,SHEEP,1996,10.89,"Korea, Republic of"
7,SHEEP,1997,9.61,"Korea, Republic of"
8,SHEEP,1998,8.07,"Korea, Republic of"
9,SHEEP,1999,6.81,"Korea, Republic of"
10,SHEEP,2000,5.7,"Korea, Republic of"
11,SHEEP,2001,4.89,"Korea, Republic of"
12,SHEEP,2002,5.7,"Korea, Republic of"
13,SHEEP,2003,5.51,"Korea, Republic of"
14,SHEEP,2004,5.98,"Korea, Republic of"
15,SHEEP,2005,6.08,"Korea, Republic of"
16,SHEEP,2006,5.84,"Korea, Republic of"
17,SHEEP,2007,5.82,"Korea, Republic of"
18,SHEEP,2008,5.73,"Korea, Republic of"
19,SHEEP,2009,5.33,"Korea, Republic of"
20,SHEEP,2010,5.67,"Korea, Republic of"
21,SHEEP,2011,6.49,"Korea, Republic of"
22,SHEEP,2012,6.7,"Korea, Republic of"
23,SHEEP,2013,6.59,"Korea, Republic of"
24,SHEEP,2014,8.78,"Korea, Republic of"
25,SHEEP,2015,10.98,"Korea, Republic of"
26,SHEEP,2016,13.97,"Korea, Republic of"
27,SHEEP,2017,18.28,"Korea, Republic of"
28,SHEEP,2018,17.5,"Korea, Republic of"
29,SHEEP,2019,17.75,"Korea, Republic of"
30,SHEEP,2020,18.0,"Korea, Republic of"
31,SHEEP,2021,18.25,"Korea, Republic of"
32,SHEEP,2022,18.5,"Korea, Republic of"
33,SHEEP,2023,18.75,"Korea, Republic of"
34,SHEEP,2024,19.0,"Korea, Republic of"
35,SHEEP,2025,19.25,"Korea, Republic of"
36,SHEEP,2026,19.5,"Korea, Republic of"
37,SHEEP,2027,19.75,"Korea, Republic of"
38,SHEEP,2028,20.0,"Korea, Republic of"
39,SHEEP,1990,168.48,South Africa
40,SHEEP,1991,169.02,South Africa
41,SHEEP,1992,178.52,South Africa
42,SHEEP,1993,164.85,South Africa
43,SHEEP,1994,196.4,South Africa
44,SHEEP,1995,155.77,South Africa
45,SHEEP,1996,164.29,South Africa
46,SHEEP,1997,163.14,South Africa
47,SHEEP,1998,161.13,South Africa
48,SHEEP,1999,186.29,South Africa
49,SHEEP,2000,164.07,South Africa
50,SHEEP,2001,146.71,South Africa
51,SHEEP,2002,145.49,South Africa
52,SHEEP,2003,143.83,South Africa
53,SHEEP,2004,166.95,South Africa
54,SHEEP,2005,166.95,South Africa
55,SHEEP,2006,178.67,South Africa
56,SHEEP,2007,208.12,South Africa
57,SHEEP,2008,198.55,South Africa
58,SHEEP,2009,185.3,South Africa
59,SHEEP,2010,175.01,South Africa
60,SHEEP,2011,163.42,South Africa
61,SHEEP,2012,171.93,South Africa
62,SHEEP,2013,192.73,South Africa
63,SHEEP,2014,202.84,South Africa
64,SHEEP,2015,188.41,South Africa
65,SHEEP,2016,188.23,South Africa
66,SHEEP,2017,172.7,South Africa
67,SHEEP,2018,171.62,South Africa
68,SHEEP,2019,172.4,South Africa
69,SHEEP,2020,174.92,South Africa
70,SHEEP,2021,176.53,South Africa
71,SHEEP,2022,178.46,South Africa
72,SHEEP,2023,180.24,South Africa
73,SHEEP,2024,182.02,South Africa
74,SHEEP,2025,183.84,South Africa
75,SHEEP,2026,185.66,South Africa
76,SHEEP,2027,187.58,South Africa
77,SHEEP,2028,189.5,South Africa
78,PIG,1990,0.0,"Korea, Republic of"
79,PIG,1991,552.62,"Korea, Republic of"
80,PIG,1992,748.46,"Korea, Republic of"
81,PIG,1993,762.23,"Korea, Republic of"
82,PIG,1994,794.64,"Korea, Republic of"
83,PIG,1995,835.26,"Korea, Republic of"
84,PIG,1996,900.38,"Korea, Republic of"
85,PIG,1997,895.85,"Korea, Republic of"
86,PIG,1998,890.94,"Korea, Republic of"
87,PIG,1999,1030.49,"Korea, Republic of"
88,PIG,2000,969.22,"Korea, Republic of"
89,PIG,2001,1013.07,"Korea, Republic of"
90,PIG,2002,1046.94,"Korea, Republic of"
91,PIG,2003,1291.64,"Korea, Republic of"
92,PIG,2004,1198.86,"Korea, Republic of"
93,PIG,2005,1177.31,"Korea, Republic of"
94,PIG,2006,1423.51,"Korea, Republic of"
95,PIG,2007,1505.96,"Korea, Republic of"
96,PIG,2008,1524.6,"Korea, Republic of"
97,PIG,2009,1484.98,"Korea, Republic of"
98,PIG,2010,1544.08,"Korea, Republic of"
99,PIG,2011,1492.19,"Korea, Republic of"
